username,budget,constructor,driver_1,driver_2,points
jojo,30,Red Bull,Charles Leclerc,Max Verstappen,0
sda,34,Alfa Romeo,Esteban Ocon,Valtteri Bottas,0
salman,200,Mercedes,Lewis Hamilton,Valtteri Bottas,0
kjk,800,Mercedes,Yuki Tsunoda,Valtteri Bottas,0
kutta,200,Red Bull,Yuki Tsunoda,Sergio Perez,0
joj,80,AlphaTauri,Valtteri Bottas,Sergio Perez,0
jk,90,Mercedes,Valtteri Bottas,Esteban Ocon,0
jhjkh,7678,Mercedes,Lewis Hamilton,Max Verstappen,0
Ahmad,500000,Mercedes,Lewis Hamilton,Esteban Ocon,0
ahmad,300,McLaren,Lewis Hamilton,Max Verstappen,0
